MätplatsID;Mätplatsnamn;MätplatsBeskrivning;Sträcka;RiktplatsA;RiktplatsB;R1;R2;koordinater.mätpunkter.R1;koordinater.mätpunkter.R2
6522;C0620X01;Ulvsundavägen, ID 126V;Ulvsundavägen;Lillsjönäsvägen;Ulvsundaplan;Lillsjönäsvägen => Ulvsundaplan;Ulvsundaplan => Lillsjönäsvägen;MultiPoint(148182.062 6580006.315);MultiPoint(148186.869 6580008.833)
6525;C0619X01;Brommaplan, ID 126N;Drottningholmsvägen;Riksbyvägen;Brommaplan;Riksbyvägen => Brommaplan;Brommaplan => Riksbyvägen;MultiPoint(146773.321 6580457.744);MultiPoint(146770.117 6580448.589)
6646;C 0306 Munkbroleden;Cykelbana längs Munkbroleden;Munkbroleden;Kåkbrinken;Munkbrogatan;Kåkbrinken => Munkbrogatan;Munkbrogatan => Kåkbrinken;MultiPoint(153799.137 6578761.995, 153799.392 6578760.737, 153800.155 6578761.245, 153798.629 6578761.245);MultiPoint(153795.475 6578761.08, 153795.197 6578759.72, 153793.798 6578760.864, 153794.053 6578761.627)
6345;C0439X01;NYNÄSVÄGEN del SÖNDAGSVÄGEN - MÅNDAGSVÄGEN;NYNÄSVÄGEN cykelväg;Söndagsvägen;Måndagsvägen;Söndagsvägen => Måndagsvägen;Måndagsvägen => Söndagsvägen;MultiPoint(155560.319 6571602.942);MultiPoint(155562.608 6571607.519)
6346;C0439X02;NYNÄSVÄGEN del SKÖNSTAHOLMSVÄGEN - LESJÖFORSGRÄND;Nynäsvägen;Skönstaholmsvägen;LESJÖFORSGRÄND;Skönstaholmsvägen => LESJÖFORSGRÄND;LESJÖFORSGRÄND => Skönstaholmsvägen;MultiPoint(155667.064 6570933.234);MultiPoint(155673.93 6570931.86)
6492;C0517X01;Västbergarondellen, ID 104;cykelväg;Västbergamotet;Midsommarkransen;Västbergamotet => Midsommarkransen;Midsommarkransen => Västbergamotet;MultiPoint(150208.626 6575706.425);MultiPoint(150192.146 6575716.496)
6491;C0504X01;Murmästarvägen, ID 101;cykelväg;Strömsätravägen;Murmästarvägen;Strömsätravägen => Murmästarvägen;Murmästarvägen => Strömsätravägen;MultiPoint(146411.493 6574440.336);MultiPoint(146404.169 6574454.527)
6499;C0428X01;Örbyleden GC-bana 1, ID 111;cykelväg;cykelväg;Grycksbovägen;cykelväg => Grycksbovägen;Grycksbovägen => cykelväg;MultiPoint(153176.859 6572712.613);MultiPoint(153184.641 6572721.311)
6500;C0428X02;Örbyleden GC-bana 2, ID 112;cykelväg;cykelväg;Grycksbovägen;cykelväg => Grycksbovägen;Grycksbovägen => cykelväg;MultiPoint(153262.493 6572618.528);MultiPoint(153254.253 6572611.204)
6527;C0618X01;Nockebybron, ID 126;Nockebybron;Brommaplan;Ekerö;Brommaplan => Ekerö;Ekerö => Brommaplan;MultiPoint(145053.23 6579293.328);MultiPoint(145057.807 6579286.003)
6533;C0637X01;Löstavägen, ID 135N;Lövstavägen;Smedshagsvägen;Skattegårdsvägen;Smedshagsvägen => Skattegårdsvägen;Skattegårdsvägen => Smedshagsvägen;MultiPoint(140189.157 6584718.413);MultiPoint(140191.904 6584725.737)
